mode,frame_i,dx_pixels,dy_pixels,score
feature,0,0.0,0.0,0.994255542755127
feature,1,0.0,-1.0,0.9926046133041382
feature,2,0.0,-2.0,0.9869083166122437
feature,3,1.0,3.0,0.9852796196937561
feature,4,-1.0,-1.0,0.9800050258636475
feature,5,1.0,0.0,0.9839645028114319
feature,6,0.0,0.0,0.9861267805099487
feature,7,0.0,-1.0,0.9855800867080688
feature,8,0.0,0.0,0.9850269556045532
feature,9,0.0,0.0,0.9824068546295166
feature,10,1.0,2.0,0.9817668199539185
feature,11,-1.0,-3.0,0.9823952317237854
feature,12,1.0,2.0,0.9798159599304199
feature,13,0.0,0.0,0.9817013740539551
feature,14,0.0,0.0,0.9712615013122559
feature,15,0.0,0.0,0.9693280458450317
feature,16,1.0,1.0,0.9663957953453064
feature,17,0.0,0.0,0.9635894298553467
feature,18,0.0,0.0,0.9594312310218811
feature,19,-1.0,-1.0,0.9550772309303284
feature,20,0.0,0.0,0.9531717300415039
feature,21,0.0,1.0,0.9509211778640747
feature,22,0.0,-1.0,0.9500229358673096
feature,23,0.0,1.0,0.9481804966926575
feature,24,-6.0,-20.0,0.947853684425354
feature,25,0.0,0.0,0.9516186714172363
feature,26,0.0,0.0,0.9516977071762085
feature,27,0.0,0.0,0.9573728442192078
feature,28,0.0,0.0,0.9579100608825684
feature,29,0.0,0.0,0.9592608213424683
feature,30,0.0,0.0,0.9604619145393372
feature,31,1.0,3.0,0.9606748223304749
feature,32,0.0,0.0,0.9592832922935486
feature,33,1.0,5.0,0.9604591131210327
feature,34,0.0,1.0,0.9585239887237549
feature,35,1.0,7.0,0.9592843651771545
feature,36,0.0,-1.0,0.9617389440536499
feature,37,0.0,4.0,0.9602946043014526
feature,38,0.0,1.0,0.9592381119728088
